scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,13,0.00325,5,794,0.1985,1.6
early outbreak,medium,10,outbreak,2,1,,4000,1,19,0.00475,6,1,0.00025,1.8
early outbreak,short,10,outbreak,3,1,,4000,1.01,1,0.00025,6,443,0.11075,2.1
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,4,2234,0.5585,1.2
late outbreak,medium,10,outbreak,5,1,,4000,1.01,0,0,5,1321,0.33025,1.6
late outbreak,short,10,outbreak,6,1,,4000,1,0,0,4,484,0.121,1.2
near peak,long,10,outbreak,7,1,,4000,1,0,0,5,23,0.00575,1.4
near peak,medium,10,outbreak,8,1,,4000,1,1,0.00025,5,957,0.23925,1.8
near peak,short,10,outbreak,9,1,,4000,1,0,0,4,1350,0.3375,1.4
past peak,long,10,outbreak,10,1,,4000,1,0,0,6,1,0.00025,1.4
past peak,medium,10,outbreak,11,1,,4000,1.01,1,0.00025,5,754,0.1885,1.5
past peak,short,10,outbreak,12,1,,4000,1.01,0,0,5,999,0.24975,1.4
early outbreak,long,100,outbreak,13,1,,4000,1.01,0,0,4,4000,1,6.6
early outbreak,medium,100,outbreak,14,1,,4000,1.01,0,0,4,4000,1,7.3
early outbreak,short,100,outbreak,15,1,,4000,1.01,0,0,4,4000,1,6.9
late outbreak,long,100,outbreak,16,1,,4000,1.01,0,0,5,2,5e-04,6.4
late outbreak,medium,100,outbreak,17,1,,4000,1.01,0,0,4,4000,1,7.1
late outbreak,short,100,outbreak,18,1,,4000,1.01,0,0,4,4000,1,7.5
near peak,long,100,outbreak,19,1,,4000,1.01,0,0,4,4000,1,6.2
near peak,medium,100,outbreak,20,1,,4000,1.01,0,0,4,4000,1,6.7
near peak,short,100,outbreak,21,1,,4000,1.01,0,0,4,4000,1,7.8
past peak,long,100,outbreak,22,1,,4000,1.01,0,0,4,4000,1,6.6
past peak,medium,100,outbreak,23,1,,4000,1.01,0,0,4,4000,1,6.9
past peak,short,100,outbreak,24,1,,4000,1.01,0,0,4,4000,1,7.9
early outbreak,long,200,outbreak,25,1,,4000,1.01,0,0,5,651,0.16275,13.9
