scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,0,0,4,176,0.044,0.5
early outbreak,medium,10,outbreak,2,1,,4000,1.01,0,0,4,2,5e-04,0.4
early outbreak,short,10,outbreak,3,1,,4000,1,0,0,4,3,0.00075,0.4
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,3,1575,0.39375,0.4
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,4,8,0.002,0.4
late outbreak,short,10,outbreak,6,1,,4000,1,0,0,4,1,0.00025,0.4
near peak,long,10,outbreak,7,1,,4000,1,0,0,3,1739,0.43475,0.4
near peak,medium,10,outbreak,8,1,,4000,1,0,0,4,282,0.0705,0.4
near peak,short,10,outbreak,9,1,,4000,1,0,0,4,23,0.00575,0.4
past peak,long,10,outbreak,10,1,,4000,1,0,0,4,2,5e-04,0.4
past peak,medium,10,outbreak,11,1,,4000,1,0,0,4,126,0.0315,0.4
past peak,short,10,outbreak,12,1,,4000,1,0,0,4,20,0.005,0.5
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,3,1702,0.4255,0.4
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,1542,0.3855,0.5
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,3,1786,0.4465,0.4
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1615,0.40375,0.4
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1395,0.34875,0.4
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1714,0.4285,0.4
near peak,long,100,outbreak,19,1,,4000,1,0,0,3,1618,0.4045,0.4
near peak,medium,100,outbreak,20,1,,4000,1,0,0,3,1595,0.39875,0.4
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1578,0.3945,0.4
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1712,0.428,0.4
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1530,0.3825,0.4
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1726,0.4315,0.4
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,3,1594,0.3985,0.5
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,3,1770,0.4425,0.5
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1702,0.4255,0.5
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1608,0.402,0.5
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1661,0.41525,0.5
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1124,0.281,0.5
near peak,long,200,outbreak,31,1,,4000,1,0,0,3,1678,0.4195,0.5
near peak,medium,200,outbreak,32,1,,4000,1,0,0,3,1551,0.38775,0.5
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,1678,0.4195,0.6
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1669,0.41725,0.5
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1662,0.4155,0.5
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,1466,0.3665,0.5
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,3,1021,0.25525,0.7
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,3,1616,0.404,0.7
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1548,0.387,0.7
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,1661,0.41525,0.6
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1685,0.42125,0.7
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,1615,0.40375,0.7
near peak,long,400,outbreak,43,1,,4000,1,0,0,3,1620,0.405,0.7
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1589,0.39725,0.6
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,1603,0.40075,0.7
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,1732,0.433,0.7
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,1496,0.374,0.6
past peak,short,400,outbreak,48,1,,4000,1,0,0,3,1621,0.40525,0.7
decay,long,200,exponential,49,1,,4000,1.01,0,0,3,1633,0.40825,0.5
decay,medium,200,exponential,50,1,,4000,1,0,0,3,1616,0.404,0.5
decay,short,200,exponential,51,1,,4000,1,0,0,3,1611,0.40275,0.5
fast decay,long,200,exponential,52,1,,4000,1,0,0,3,1570,0.3925,0.5
fast decay,medium,200,exponential,53,1,,4000,1,0,0,3,1672,0.418,0.5
fast decay,short,200,exponential,54,1,,4000,1,0,0,3,1605,0.40125,0.5
