scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.02,89,0.02225,6,4,0.001,0.9
early outbreak,medium,10,outbreak,2,1,,4000,1.01,159,0.03975,5,30,0.0075,0.9
early outbreak,short,10,outbreak,3,1,,4000,1.02,252,0.063,6,2,5e-04,0.7
late outbreak,long,10,outbreak,4,1,,4000,1.01,412,0.103,6,2,5e-04,0.8
late outbreak,medium,10,outbreak,5,1,,4000,1.02,373,0.09325,5,9,0.00225,0.6
late outbreak,short,10,outbreak,6,1,,4000,1.03,8,0.002,6,8,0.002,0.9
near peak,long,10,outbreak,7,1,,4000,1.01,163,0.04075,5,16,0.004,0.5
near peak,medium,10,outbreak,8,1,,4000,1.01,354,0.0885,6,8,0.002,0.9
near peak,short,10,outbreak,9,1,,4000,1.23,948,0.237,7,8,0.002,0.8
past peak,long,10,outbreak,10,1,,4000,1.01,216,0.054,6,1,0.00025,0.8
past peak,medium,10,outbreak,11,1,,4000,1.01,223,0.05575,5,10,0.0025,0.5
past peak,short,10,outbreak,12,1,,4000,1.01,460,0.115,6,2,5e-04,0.8
early outbreak,long,100,outbreak,13,1,,4000,1.02,59,0.01475,7,1,0.00025,2.7
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,581,0.14525,1.8
early outbreak,short,100,outbreak,15,1,,4000,1.01,0,0,7,1,0.00025,1.8
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1234,0.3085,1.8
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,599,0.14975,1.8
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,555,0.13875,1.8
near peak,long,100,outbreak,19,1,,4000,1.07,200,0.05,7,2,5e-04,2.3
near peak,medium,100,outbreak,20,1,,4000,1,0,0,4,1,0.00025,1.8
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,500,0.125,1.7
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1168,0.292,1.9
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,870,0.2175,1.8
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,988,0.247,1.8
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,6,1,0.00025,4.7
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,4,128,0.032,3.7
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,799,0.19975,3
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1206,0.3015,3.1
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,856,0.214,3
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,585,0.14625,3
near peak,long,200,outbreak,31,1,,4000,1.01,0,0,5,2,5e-04,3.6
near peak,medium,200,outbreak,32,1,,4000,1,0,0,4,7,0.00175,3.3
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,778,0.1945,2.9
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,595,0.14875,3
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,469,0.11725,3
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,385,0.09625,3
early outbreak,long,400,outbreak,37,1,,4000,1.02,1,0.00025,6,12,0.003,12.4
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,4,6,0.0015,6.1
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,595,0.14875,5.4
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,645,0.16125,5.3
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,247,0.06175,5.1
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,656,0.164,5.3
near peak,long,400,outbreak,43,1,,4000,1,0,0,4,42,0.0105,6.2
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,586,0.1465,5.5
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,637,0.15925,5.3
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,933,0.23325,5.5
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,260,0.065,5.2
past peak,short,400,outbreak,48,1,,4000,1,0,0,3,574,0.1435,5.3
decay,long,200,exponential,49,1,,4000,1,0,0,3,789,0.19725,3
decay,long,200,exponential,50,2,,4000,1,0,0,4,8,0.002,3.2
decay,long,200,exponential,51,3,,4000,1,0,0,4,3,0.00075,3.3
decay,long,200,exponential,52,4,,4000,1,0,0,3,857,0.21425,3.1
decay,long,200,exponential,53,5,,4000,1,0,0,3,891,0.22275,3.1
decay,long,200,exponential,54,6,,4000,1.01,0,0,6,3,0.00075,3.3
decay,long,200,exponential,55,7,,4000,1,0,0,7,4,0.001,3.5
decay,long,200,exponential,56,8,,4000,1,0,0,4,1,0.00025,3
decay,long,200,exponential,57,9,,4000,1,0,0,3,734,0.1835,3.1
decay,long,200,exponential,58,10,,4000,1,0,0,3,861,0.21525,3
decay,long,200,exponential,59,11,,4000,1,0,0,3,836,0.209,3.1
decay,long,200,exponential,60,12,,4000,1,0,0,3,910,0.2275,3.2
