scenario,distribution,sample_size,data_type,id,replicate,obs_type
early outbreak,long,10,outbreak,1,1,
early outbreak,medium,10,outbreak,2,1,
early outbreak,short,10,outbreak,3,1,
late outbreak,long,10,outbreak,4,1,
late outbreak,medium,10,outbreak,5,1,
late outbreak,short,10,outbreak,6,1,
near peak,long,10,outbreak,7,1,
near peak,medium,10,outbreak,8,1,
near peak,short,10,outbreak,9,1,
past peak,long,10,outbreak,10,1,
past peak,medium,10,outbreak,11,1,
past peak,short,10,outbreak,12,1,
early outbreak,long,100,outbreak,13,1,
early outbreak,medium,100,outbreak,14,1,
early outbreak,short,100,outbreak,15,1,
late outbreak,long,100,outbreak,16,1,
late outbreak,medium,100,outbreak,17,1,
late outbreak,short,100,outbreak,18,1,
near peak,long,100,outbreak,19,1,
near peak,medium,100,outbreak,20,1,
near peak,short,100,outbreak,21,1,
past peak,long,100,outbreak,22,1,
past peak,medium,100,outbreak,23,1,
past peak,short,100,outbreak,24,1,
early outbreak,long,200,outbreak,25,1,
early outbreak,medium,200,outbreak,26,1,
early outbreak,short,200,outbreak,27,1,
late outbreak,long,200,outbreak,28,1,
late outbreak,medium,200,outbreak,29,1,
late outbreak,short,200,outbreak,30,1,
near peak,long,200,outbreak,31,1,
near peak,medium,200,outbreak,32,1,
near peak,short,200,outbreak,33,1,
past peak,long,200,outbreak,34,1,
past peak,medium,200,outbreak,35,1,
past peak,short,200,outbreak,36,1,
early outbreak,long,400,outbreak,37,1,
early outbreak,medium,400,outbreak,38,1,
early outbreak,short,400,outbreak,39,1,
late outbreak,long,400,outbreak,40,1,
late outbreak,medium,400,outbreak,41,1,
late outbreak,short,400,outbreak,42,1,
near peak,long,400,outbreak,43,1,
near peak,medium,400,outbreak,44,1,
near peak,short,400,outbreak,45,1,
past peak,long,400,outbreak,46,1,
past peak,medium,400,outbreak,47,1,
past peak,short,400,outbreak,48,1,
decay,long,200,exponential,49,1,
decay,medium,200,exponential,50,1,
decay,short,200,exponential,51,1,
fast decay,long,200,exponential,52,1,
fast decay,medium,200,exponential,53,1,
fast decay,short,200,exponential,54,1,
fast growth,long,200,exponential,55,1,
fast growth,medium,200,exponential,56,1,
fast growth,short,200,exponential,57,1,
growth,long,200,exponential,58,1,
growth,medium,200,exponential,59,1,
growth,short,200,exponential,60,1,
stable,long,200,exponential,61,1,
stable,medium,200,exponential,62,1,
stable,short,200,exponential,63,1,
120 days,,834,ebola_case_study,64,,real-time
120 days,,1032,ebola_case_study,65,,retrospective
180 days,,3149,ebola_case_study,66,,real-time
180 days,,3532,ebola_case_study,67,,retrospective
240 days,,2399,ebola_case_study,68,,real-time
240 days,,2483,ebola_case_study,69,,retrospective
60 days,,401,ebola_case_study,70,,real-time
60 days,,428,ebola_case_study,71,,retrospective
