id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,1,,meanlog,1.1,1.2,0.61,0.72,0.95,1.1,1.2,1.3,1.5,1.6
2,early outbreak,medium,10,outbreak,1,,meanlog,1,1,0.56,0.66,0.86,0.96,1.1,1.2,1.4,1.5
3,early outbreak,short,10,outbreak,1,,meanlog,1.1,1.1,0.65,0.74,0.93,1,1.2,1.3,1.5,1.6
4,late outbreak,long,10,outbreak,1,,meanlog,1.8,1.7,1.3,1.3,1.5,1.7,1.8,2,2.2,2.2
5,late outbreak,medium,10,outbreak,1,,meanlog,1.7,1.7,1.1,1.2,1.5,1.6,1.8,2,2.2,2.3
6,late outbreak,short,10,outbreak,1,,meanlog,1.2,1.2,0.8,0.88,1.1,1.1,1.3,1.4,1.5,1.6
7,near peak,long,10,outbreak,1,,meanlog,0.93,0.97,0.0017,0.2,0.63,0.83,1.1,1.3,1.5,1.7
8,near peak,medium,10,outbreak,1,,meanlog,1.5,1.5,1.2,1.2,1.4,1.5,1.6,1.7,1.8,1.9
9,near peak,short,10,outbreak,1,,meanlog,1.2,1.2,0.96,1,1.1,1.2,1.2,1.3,1.3,1.4
10,past peak,long,10,outbreak,1,,meanlog,1.8,1.8,0.99,1.1,1.5,1.7,1.9,2.1,2.4,2.5
11,past peak,medium,10,outbreak,1,,meanlog,1.3,1.3,0.71,0.83,1.1,1.2,1.4,1.6,1.8,1.9
12,past peak,short,10,outbreak,1,,meanlog,1.1,1.1,0.6,0.7,0.92,1,1.2,1.3,1.5,1.5
13,early outbreak,long,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3
14,early outbreak,medium,100,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
15,early outbreak,short,100,outbreak,1,,meanlog,1.1,1.1,1,1,1.1,1.1,1.1,1.1,1.2,1.2
16,late outbreak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
17,late outbreak,medium,100,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
18,late outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3
19,near peak,long,100,outbreak,1,,meanlog,1.4,1.4,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.5
20,near peak,medium,100,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
21,near peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
22,past peak,long,100,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
23,past peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
24,past peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
25,early outbreak,long,200,outbreak,1,,meanlog,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4
26,early outbreak,medium,200,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
27,early outbreak,short,200,outbreak,1,,meanlog,1.1,1.1,1,1,1.1,1.1,1.1,1.1,1.1,1.1
28,late outbreak,long,200,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8
29,late outbreak,medium,200,outbreak,1,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
30,late outbreak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
31,near peak,long,200,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
32,near peak,medium,200,outbreak,1,,meanlog,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
33,near peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
34,past peak,long,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8
